State;Year;Month;Frequency;Variable;Value;Unit
Mississippi;2017;January;Annualy;Total Carbon Emissions;67.801279;Million Metric Tons of Carbon Dioxide
Mississippi;1982;January;Annualy;Carbon Emissions from Coal;9.441326;Million Metric Tons of Carbon Dioxide
Mississippi;1989;January;Annualy;Carbon Emissions from Coal;9.0;Million Metric Tons of Carbon Dioxide
Mississippi;1993;January;Annualy;Carbon Emissions from Coal;9.426698;Million Metric Tons of Carbon Dioxide
Mississippi;2017;January;Annualy;Carbon Emissions from Coal;5.136943;Million Metric Tons of Carbon Dioxide
Mississippi;1986;January;Annualy;Carbon Emissions from Oil;22.5178;Million Metric Tons of Carbon Dioxide
Mississippi;1989;January;Annualy;Carbon Emissions from Oil;24.50143;Million Metric Tons of Carbon Dioxide
Mississippi;1995;January;Annualy;Carbon Emissions from Oil;26.206871;Million Metric Tons of Carbon Dioxide
Mississippi;1998;January;Annualy;Carbon Emissions from Oil;31.011242;Million Metric Tons of Carbon Dioxide
Mississippi;1981;January;Annualy;Carbon Emissions from Gas;13.190035;Million Metric Tons of Carbon Dioxide
Mississippi;1986;January;Annualy;Carbon Emissions from Gas;11.662345;Million Metric Tons of Carbon Dioxide
Mississippi;2010;January;Annualy;Carbon Emissions from Gas;23.574782;Million Metric Tons of Carbon Dioxide
Mississippi;2011;January;Annualy;Carbon Emissions from Gas;23.203661;Million Metric Tons of Carbon Dioxide
Mississippi;1981;January;Annualy;Total Per Capita Carbon Emissions;0.017841417;Mg/person
Mississippi;1986;January;Annualy;Total Per Capita Carbon Emissions;0.017311865;Mg/person
Mississippi;1993;January;Annualy;Total Per Capita Carbon Emissions;0.019426508;Mg/person
Mississippi;1999;January;Annualy;Total Per Capita Carbon Emissions;0.022357717;Mg/person
Mississippi;2000;January;Annualy;Total Per Capita Carbon Emissions;0.021490871;Mg/person
Mississippi;2001;January;Annualy;Total Per Capita Carbon Emissions;0.024508267;Mg/person
Mississippi;2006;January;Annualy;Total Per Capita Carbon Emissions;0.022686993;Mg/person
Mississippi;2009;January;Annualy;Total Per Capita Carbon Emissions;0.020442971;Mg/person
Mississippi;2012;January;Annualy;Total Per Capita Carbon Emissions;0.020796022;Mg/person
Mississippi;2013;January;Annualy;Total Per Capita Carbon Emissions;0.020184963;Mg/person
Mississippi;1981;January;Annualy;Per Capita Carbon Emissions from Coal;0.003072032;Mg/person
Mississippi;1982;January;Annualy;Per Capita Carbon Emissions from Coal;0.003676504;Mg/person
Mississippi;1983;January;Annualy;Per Capita Carbon Emissions from Coal;0.003505059;Mg/person
Mississippi;1997;January;Annualy;Per Capita Carbon Emissions from Coal;0.004575694;Mg/person
Mississippi;1998;January;Annualy;Per Capita Carbon Emissions from Coal;0.004325173;Mg/person
Mississippi;2015;January;Annualy;Per Capita Carbon Emissions from Coal;0.002288455;Mg/person
Mississippi;2017;January;Annualy;Per Capita Carbon Emissions from Coal;0.001718235;Mg/person
Mississippi;1980;January;Annualy;Per Capita Carbon Emissions from Oil;0.01045403;Mg/person
Mississippi;1983;January;Annualy;Per Capita Carbon Emissions from Oil;0.008100581;Mg/person
Mississippi;1994;January;Annualy;Per Capita Carbon Emissions from Oil;0.0103625;Mg/person
Mississippi;1999;January;Annualy;Per Capita Carbon Emissions from Oil;0.011594228;Mg/person
Mississippi;2007;January;Annualy;Per Capita Carbon Emissions from Oil;0.010461308;Mg/person
Mississippi;1982;January;Annualy;Per Capita Carbon Emissions from Gas;0.005749426;Mg/person
Mississippi;1985;January;Annualy;Per Capita Carbon Emissions from Gas;0.004791156;Mg/person
Mississippi;1988;January;Annualy;Per Capita Carbon Emissions from Gas;0.004456756;Mg/person
Mississippi;1989;January;Annualy;Per Capita Carbon Emissions from Gas;0.004778055;Mg/person
Mississippi;1996;January;Annualy;Per Capita Carbon Emissions from Gas;0.005424504;Mg/person
Mississippi;2002;January;Annualy;Per Capita Carbon Emissions from Gas;0.006580392;Mg/person
Mississippi;2003;January;Annualy;Per Capita Carbon Emissions from Gas;0.005089538;Mg/person
Mississippi;2004;January;Annualy;Per Capita Carbon Emissions from Gas;0.005335234;Mg/person
Mississippi;2014;January;Annualy;Per Capita Carbon Emissions from Gas;0.007787286;Mg/person
Missouri;1981;January;Annualy;Total Carbon Emissions;100.665001;Million Metric Tons of Carbon Dioxide
Missouri;1984;January;Annualy;Total Carbon Emissions;105.348236;Million Metric Tons of Carbon Dioxide
Missouri;1985;January;Annualy;Total Carbon Emissions;99.887624;Million Metric Tons of Carbon Dioxide
Missouri;1992;January;Annualy;Total Carbon Emissions;101.788136;Million Metric Tons of Carbon Dioxide
Missouri;1993;January;Annualy;Total Carbon Emissions;100.309797;Million Metric Tons of Carbon Dioxide
Missouri;2000;January;Annualy;Total Carbon Emissions;124.849338;Million Metric Tons of Carbon Dioxide
Missouri;2001;January;Annualy;Total Carbon Emissions;129.589868;Million Metric Tons of Carbon Dioxide
Missouri;2002;January;Annualy;Total Carbon Emissions;130.687423;Million Metric Tons of Carbon Dioxide
Missouri;2005;January;Annualy;Total Carbon Emissions;141.151858;Million Metric Tons of Carbon Dioxide
Missouri;2010;January;Annualy;Total Carbon Emissions;133.5978;Million Metric Tons of Carbon Dioxide
Missouri;2013;January;Annualy;Total Carbon Emissions;132.035222;Million Metric Tons of Carbon Dioxide
Missouri;1985;January;Annualy;Carbon Emissions from Coal;49.77753;Million Metric Tons of Carbon Dioxide
Missouri;2001;January;Annualy;Carbon Emissions from Coal;68.2592;Million Metric Tons of Carbon Dioxide
Missouri;2002;January;Annualy;Carbon Emissions from Coal;69.278262;Million Metric Tons of Carbon Dioxide
Missouri;2008;January;Annualy;Carbon Emissions from Coal;75.712604;Million Metric Tons of Carbon Dioxide
Missouri;2012;January;Annualy;Carbon Emissions from Coal;73.364398;Million Metric Tons of Carbon Dioxide
Missouri;2017;January;Annualy;Carbon Emissions from Coal;67.781172;Million Metric Tons of Carbon Dioxide
Missouri;1980;January;Annualy;Carbon Emissions from Oil;36.85501;Million Metric Tons of Carbon Dioxide
Missouri;1994;January;Annualy;Carbon Emissions from Oil;42.325342;Million Metric Tons of Carbon Dioxide
Missouri;1998;January;Annualy;Carbon Emissions from Oil;49.088652;Million Metric Tons of Carbon Dioxide
Missouri;1999;January;Annualy;Carbon Emissions from Oil;49.916387;Million Metric Tons of Carbon Dioxide
Missouri;2004;January;Annualy;Carbon Emissions from Oil;46.658189;Million Metric Tons of Carbon Dioxide
Missouri;2011;January;Annualy;Carbon Emissions from Oil;40.846296;Million Metric Tons of Carbon Dioxide
Missouri;2014;January;Annualy;Carbon Emissions from Oil;41.249253;Million Metric Tons of Carbon Dioxide
Missouri;1984;January;Annualy;Carbon Emissions from Gas;14.25097;Million Metric Tons of Carbon Dioxide
Missouri;1985;January;Annualy;Carbon Emissions from Gas;13.979617;Million Metric Tons of Carbon Dioxide
Missouri;2002;January;Annualy;Carbon Emissions from Gas;14.728171;Million Metric Tons of Carbon Dioxide
Missouri;2013;January;Annualy;Carbon Emissions from Gas;14.862932;Million Metric Tons of Carbon Dioxide
Missouri;2017;January;Annualy;Carbon Emissions from Gas;13.981979;Million Metric Tons of Carbon Dioxide
Missouri;1983;January;Annualy;Total Per Capita Carbon Emissions;0.020692865;Mg/person
Missouri;1989;January;Annualy;Total Per Capita Carbon Emissions;0.020722826;Mg/person
Missouri;1990;January;Annualy;Total Per Capita Carbon Emissions;0.020053176;Mg/person
Missouri;1991;January;Annualy;Total Per Capita Carbon Emissions;0.019969871;Mg/person
Missouri;1992;January;Annualy;Total Per Capita Carbon Emissions;0.019754756;Mg/person
Missouri;1994;January;Annualy;Total Per Capita Carbon Emissions;0.020601355;Mg/person
Missouri;1995;January;Annualy;Total Per Capita Carbon Emissions;0.021785633;Mg/person
Missouri;1997;January;Annualy;Total Per Capita Carbon Emissions;0.023247156;Mg/person
Missouri;2002;January;Annualy;Total Per Capita Carbon Emissions;0.02304888;Mg/person
Missouri;2004;January;Annualy;Total Per Capita Carbon Emissions;0.024025792;Mg/person
Missouri;2005;January;Annualy;Total Per Capita Carbon Emissions;0.024379461;Mg/person
Missouri;2013;January;Annualy;Total Per Capita Carbon Emissions;0.021857755;Mg/person
Missouri;1992;January;Annualy;Per Capita Carbon Emissions from Coal;0.009473041;Mg/person
Missouri;1994;January;Annualy;Per Capita Carbon Emissions from Coal;0.00963795;Mg/person
Missouri;1998;January;Annualy;Per Capita Carbon Emissions from Coal;0.012082621;Mg/person
Missouri;1999;January;Annualy;Per Capita Carbon Emissions from Coal;0.011868323;Mg/person
Missouri;2002;January;Annualy;Per Capita Carbon Emissions from Coal;0.012073441;Mg/person
Missouri;2011;January;Annualy;Per Capita Carbon Emissions from Coal;0.013120666;Mg/person
Missouri;2017;January;Annualy;Per Capita Carbon Emissions from Coal;0.011096002;Mg/person
Missouri;1983;January;Annualy;Per Capita Carbon Emissions from Oil;0.007140353;Mg/person
Missouri;1984;January;Annualy;Per Capita Carbon Emissions from Oil;0.007235777;Mg/person
Missouri;1998;January;Annualy;Per Capita Carbon Emissions from Oil;0.009379203;Mg/person
Missouri;2002;January;Annualy;Per Capita Carbon Emissions from Oil;0.008368102;Mg/person
Missouri;2003;January;Annualy;Per Capita Carbon Emissions from Oil;0.008470055;Mg/person
Missouri;2006;January;Annualy;Per Capita Carbon Emissions from Oil;0.00811034;Mg/person
Missouri;2007;January;Annualy;Per Capita Carbon Emissions from Oil;0.008140542;Mg/person
Missouri;2013;January;Annualy;Per Capita Carbon Emissions from Oil;0.006647534;Mg/person
Missouri;2015;January;Annualy;Per Capita Carbon Emissions from Oil;0.006854469;Mg/person
Missouri;1984;January;Annualy;Per Capita Carbon Emissions from Gas;0.002874211;Mg/person
Missouri;1987;January;Annualy;Per Capita Carbon Emissions from Gas;0.002452194;Mg/person
Missouri;1990;January;Annualy;Per Capita Carbon Emissions from Gas;0.002496894;Mg/person
Missouri;1993;January;Annualy;Per Capita Carbon Emissions from Gas;0.002844729;Mg/person
Missouri;2001;January;Annualy;Per Capita Carbon Emissions from Gas;0.002714249;Mg/person
Missouri;2007;January;Annualy;Per Capita Carbon Emissions from Gas;0.002504497;Mg/person
Missouri;2008;January;Annualy;Per Capita Carbon Emissions from Gas;0.002672754;Mg/person
Missouri;2010;January;Annualy;Per Capita Carbon Emissions from Gas;0.002486739;Mg/person
Missouri;2011;January;Annualy;Per Capita Carbon Emissions from Gas;0.002420063;Mg/person
Montana;1980;January;Annualy;Total Carbon Emissions;19.499719;Million Metric Tons of Carbon Dioxide
